STATcube

"Wanderungen innerhalb Österreichs ab 2002 (Q)"
"Jahr und Alter in Einzeljahren nach Politischer Bezirk / Wiener Gemeindebezirk - Zielort"
"Zählt: Wanderungen innerhalb Österreichs"

Filter:
"Standardfakt";"Wanderungen innerhalb Österreichs"

"Werte";"Jahr";"Alter in Einzeljahren";"Politischer Bezirk / Wiener Gemeindebezirk - Zielort";"Anzahl";"Anmerkungen";
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Eisenstadt (Stadt) <101>";30;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Rust (Stadt) <102>";-;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Eisenstadt Umgebung <103>";46;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Güssing <104>";17;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Jennersdorf <105>";12;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Mattersburg <106>";41;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Neusiedl am See <107>";44;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Oberpullendorf <108>";29;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Oberwart <109>";66;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Klagenfurt (Stadt) <201>";151;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Villach (Stadt) <202>";83;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Feldkirchen <210>";22;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Hermagor <203>";11;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Klagenfurt Land <204>";52;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Sankt Veit an der Glan <205>";54;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Spittal an der Drau <206>";66;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Villach Land <207>";51;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Völkermarkt <208>";40;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Wolfsberg <209>";57;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Krems an der Donau (Stadt) <301>";24;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Sankt Pölten (Stadt) <302>";83;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Waidhofen an der Ybbs (Stadt) <303>";12;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Wiener Neustadt (Stadt) <304>";86;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Amstetten <305>";112;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Baden <306>";160;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Bruck an der Leitha <307>";134;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Gänserndorf <308>";144;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Gmünd <309>";26;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Hollabrunn <310>";64;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Horn <311>";27;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Korneuburg <312>";93;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Krems Land <313>";32;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Lilienfeld <314>";35;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Melk <315>";83;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Mistelbach <316>";63;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Mödling <317>";120;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Neunkirchen <318>";67;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Sankt Pölten Land <319>";141;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Scheibbs <320>";28;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Tulln <321>";115;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Waidhofen an der Thaya <322>";13;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Wiener Neustadt Land <323>";79;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Wien Umgebung ^<324>";-;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Zwettl <325>";36;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Stadt Linz <401>";279;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Stadt Steyr <402>";43;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Stadt Wels <403>";108;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Braunau <404>";106;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Eferding <405>";27;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Freistadt <406>";45;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Gmunden <407>";81;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Grieskirchen <408>";58;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Kirchdorf <409>";46;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Linz Land <410>";195;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Perg <411>";67;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Ried <412>";83;
