STATcube

"Wanderungen innerhalb Österreichs ab 2002 (Q)"
"Jahr und Alter in Einzeljahren nach Politischer Bezirk / Wiener Gemeindebezirk - Herkunftsort"
"Zählt: Wanderungen innerhalb Österreichs"

Filter:
"Standardfakt";"Wanderungen innerhalb Österreichs"

"Werte";"Jahr";"Alter in Einzeljahren";"Politischer Bezirk / Wiener Gemeindebezirk - Herkunftsort";"Anzahl";"Anmerkungen";
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Eisenstadt (Stadt) <101>";27;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Rust (Stadt) <102>";1;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Eisenstadt Umgebung <103>";33;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Güssing <104>";13;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Jennersdorf <105>";8;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Mattersburg <106>";34;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Neusiedl am See <107>";45;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Oberpullendorf <108>";26;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Oberwart <109>";52;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Klagenfurt (Stadt) <201>";146;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Villach (Stadt) <202>";82;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Feldkirchen <210>";18;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Hermagor <203>";6;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Klagenfurt Land <204>";51;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Sankt Veit an der Glan <205>";46;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Spittal an der Drau <206>";58;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Villach Land <207>";62;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Völkermarkt <208>";39;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Wolfsberg <209>";56;
"Wanderungen innerhalb Österreichs";"2025";"0 Jahre";"Krems an der Donau (Stadt) <301>";25;
