Alter in 5-Jahresgruppen <20>,Jahr,Politischer Bezirk / Wiener Gemeindebezirk - Herkunftsort,Politischer Bezirk / Wiener Gemeindebezirk - Zielort,Anzahl,Anmerkungen
10 bis 14 Jahre,2025,"Wien 16.Bezirk, Ottakring <916>","Wien 18.Bezirk, Währing <918>",11
10 bis 14 Jahre,2025,"Wien 16.Bezirk, Ottakring <916>","Wien 19.Bezirk, Döbling <919>",12
10 bis 14 Jahre,2025,"Wien 16.Bezirk, Ottakring <916>","Wien 20.Bezirk, Brigittenau <920>",21
10 bis 14 Jahre,2025,"Wien 16.Bezirk, Ottakring <916>","Wien 21.Bezirk, Floridsdorf <921>",29
10 bis 14 Jahre,2025,"Wien 16.Bezirk, Ottakring <916>","Wien 22.Bezirk, Donaustadt <922>",24
10 bis 14 Jahre,2025,"Wien 16.Bezirk, Ottakring <916>","Wien 23.Bezirk, Liesing <923>",6
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 1.Bezirk, Innere Stadt <901>",1
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 2.Bezirk, Leopoldstadt <902>",3
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 3.Bezirk, Landstraße <903>",1
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 4.Bezirk, Wieden <904>",5
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 5.Bezirk, Margareten <905>",4
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 6.Bezirk, Mariahilf <906>",1
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 7.Bezirk, Neubau <907>",3
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 8.Bezirk, Josefstadt <908>",1
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 9.Bezirk, Alsergrund <909>",5
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 10.Bezirk, Favoriten <910>",10
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 11.Bezirk, Simmering <911>",7
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 12.Bezirk, Meidling <912>",13
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 13.Bezirk, Hietzing <913>",2
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 14.Bezirk, Penzing <914>",10
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",8
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 16.Bezirk, Ottakring <916>",32
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 17.Bezirk, Hernals <917>",55
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 18.Bezirk, Währing <918>",5
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 19.Bezirk, Döbling <919>",8
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 20.Bezirk, Brigittenau <920>",1
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 21.Bezirk, Floridsdorf <921>",12
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 22.Bezirk, Donaustadt <922>",9
10 bis 14 Jahre,2025,"Wien 17.Bezirk, Hernals <917>","Wien 23.Bezirk, Liesing <923>",3
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 1.Bezirk, Innere Stadt <901>",2
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 2.Bezirk, Leopoldstadt <902>",2
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 3.Bezirk, Landstraße <903>",3
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 4.Bezirk, Wieden <904>",1
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 5.Bezirk, Margareten <905>",1
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 6.Bezirk, Mariahilf <906>",2
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 7.Bezirk, Neubau <907>",-
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 8.Bezirk, Josefstadt <908>",1
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 9.Bezirk, Alsergrund <909>",2
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 10.Bezirk, Favoriten <910>",3
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 11.Bezirk, Simmering <911>",-
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 12.Bezirk, Meidling <912>",3
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 13.Bezirk, Hietzing <913>",3
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 14.Bezirk, Penzing <914>",5
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",2
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 16.Bezirk, Ottakring <916>",6
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 17.Bezirk, Hernals <917>",21
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 18.Bezirk, Währing <918>",59
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 19.Bezirk, Döbling <919>",30
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 20.Bezirk, Brigittenau <920>",7
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 21.Bezirk, Floridsdorf <921>",11
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 22.Bezirk, Donaustadt <922>",4
10 bis 14 Jahre,2025,"Wien 18.Bezirk, Währing <918>","Wien 23.Bezirk, Liesing <923>",8
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 1.Bezirk, Innere Stadt <901>",3
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 2.Bezirk, Leopoldstadt <902>",2
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 3.Bezirk, Landstraße <903>",10
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 4.Bezirk, Wieden <904>",2
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 5.Bezirk, Margareten <905>",3
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 6.Bezirk, Mariahilf <906>",1
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 7.Bezirk, Neubau <907>",3
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 8.Bezirk, Josefstadt <908>",-
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 9.Bezirk, Alsergrund <909>",9
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 10.Bezirk, Favoriten <910>",18
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 11.Bezirk, Simmering <911>",6
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 12.Bezirk, Meidling <912>",5
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 13.Bezirk, Hietzing <913>",4
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 14.Bezirk, Penzing <914>",9
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",9
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 16.Bezirk, Ottakring <916>",12
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 17.Bezirk, Hernals <917>",10
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 18.Bezirk, Währing <918>",13
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 19.Bezirk, Döbling <919>",120
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 20.Bezirk, Brigittenau <920>",13
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 21.Bezirk, Floridsdorf <921>",16
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 22.Bezirk, Donaustadt <922>",15
10 bis 14 Jahre,2025,"Wien 19.Bezirk, Döbling <919>","Wien 23.Bezirk, Liesing <923>",2
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 1.Bezirk, Innere Stadt <901>",1
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 2.Bezirk, Leopoldstadt <902>",33
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 3.Bezirk, Landstraße <903>",8
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 4.Bezirk, Wieden <904>",3
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 5.Bezirk, Margareten <905>",1
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 6.Bezirk, Mariahilf <906>",3
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 7.Bezirk, Neubau <907>",2
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 8.Bezirk, Josefstadt <908>",2
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 9.Bezirk, Alsergrund <909>",5
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 10.Bezirk, Favoriten <910>",14
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 11.Bezirk, Simmering <911>",6
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 12.Bezirk, Meidling <912>",10
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 13.Bezirk, Hietzing <913>",3
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 14.Bezirk, Penzing <914>",11
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",7
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 16.Bezirk, Ottakring <916>",4
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 17.Bezirk, Hernals <917>",4
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 18.Bezirk, Währing <918>",4
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 19.Bezirk, Döbling <919>",16
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 20.Bezirk, Brigittenau <920>",121
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 21.Bezirk, Floridsdorf <921>",60
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 22.Bezirk, Donaustadt <922>",47
10 bis 14 Jahre,2025,"Wien 20.Bezirk, Brigittenau <920>","Wien 23.Bezirk, Liesing <923>",6
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 1.Bezirk, Innere Stadt <901>",2
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 2.Bezirk, Leopoldstadt <902>",23
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 3.Bezirk, Landstraße <903>",4
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 4.Bezirk, Wieden <904>",1
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 5.Bezirk, Margareten <905>",3
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 6.Bezirk, Mariahilf <906>",2
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 7.Bezirk, Neubau <907>",3
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 8.Bezirk, Josefstadt <908>",-
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 9.Bezirk, Alsergrund <909>",5
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 10.Bezirk, Favoriten <910>",21
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 11.Bezirk, Simmering <911>",5
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 12.Bezirk, Meidling <912>",8
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 13.Bezirk, Hietzing <913>",5
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 14.Bezirk, Penzing <914>",10
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",6
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 16.Bezirk, Ottakring <916>",10
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 17.Bezirk, Hernals <917>",6
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 18.Bezirk, Währing <918>",3
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 19.Bezirk, Döbling <919>",18
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 20.Bezirk, Brigittenau <920>",37
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 21.Bezirk, Floridsdorf <921>",322
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 22.Bezirk, Donaustadt <922>",98
10 bis 14 Jahre,2025,"Wien 21.Bezirk, Floridsdorf <921>","Wien 23.Bezirk, Liesing <923>",19
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 1.Bezirk, Innere Stadt <901>",-
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 2.Bezirk, Leopoldstadt <902>",22
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 3.Bezirk, Landstraße <903>",17
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 4.Bezirk, Wieden <904>",4
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 5.Bezirk, Margareten <905>",3
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 6.Bezirk, Mariahilf <906>",2
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 7.Bezirk, Neubau <907>",-
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 8.Bezirk, Josefstadt <908>",4
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 9.Bezirk, Alsergrund <909>",3
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 10.Bezirk, Favoriten <910>",29
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 11.Bezirk, Simmering <911>",13
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 12.Bezirk, Meidling <912>",6
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 13.Bezirk, Hietzing <913>",1
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 14.Bezirk, Penzing <914>",2
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",4
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 16.Bezirk, Ottakring <916>",8
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 17.Bezirk, Hernals <917>",2
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 18.Bezirk, Währing <918>",6
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 19.Bezirk, Döbling <919>",7
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 20.Bezirk, Brigittenau <920>",15
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 21.Bezirk, Floridsdorf <921>",57
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 22.Bezirk, Donaustadt <922>",409
10 bis 14 Jahre,2025,"Wien 22.Bezirk, Donaustadt <922>","Wien 23.Bezirk, Liesing <923>",7
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 1.Bezirk, Innere Stadt <901>",-
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 2.Bezirk, Leopoldstadt <902>",3
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 3.Bezirk, Landstraße <903>",2
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 4.Bezirk, Wieden <904>",-
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 5.Bezirk, Margareten <905>",3
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 6.Bezirk, Mariahilf <906>",1
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 7.Bezirk, Neubau <907>",1
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 8.Bezirk, Josefstadt <908>",-
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 9.Bezirk, Alsergrund <909>",1
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 10.Bezirk, Favoriten <910>",27
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 11.Bezirk, Simmering <911>",2
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 12.Bezirk, Meidling <912>",18
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 13.Bezirk, Hietzing <913>",13
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 14.Bezirk, Penzing <914>",7
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",3
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 16.Bezirk, Ottakring <916>",3
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 17.Bezirk, Hernals <917>",3
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 18.Bezirk, Währing <918>",-
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 19.Bezirk, Döbling <919>",2
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 20.Bezirk, Brigittenau <920>",6
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 21.Bezirk, Floridsdorf <921>",11
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 22.Bezirk, Donaustadt <922>",19
10 bis 14 Jahre,2025,"Wien 23.Bezirk, Liesing <923>","Wien 23.Bezirk, Liesing <923>",165
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 1.Bezirk, Innere Stadt <901>",25
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 2.Bezirk, Leopoldstadt <902>",11
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 3.Bezirk, Landstraße <903>",6
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 4.Bezirk, Wieden <904>",1
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 5.Bezirk, Margareten <905>",1
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 6.Bezirk, Mariahilf <906>",1
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 7.Bezirk, Neubau <907>",1
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 8.Bezirk, Josefstadt <908>",2
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 9.Bezirk, Alsergrund <909>",2
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 10.Bezirk, Favoriten <910>",6
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 11.Bezirk, Simmering <911>",1
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 12.Bezirk, Meidling <912>",1
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 13.Bezirk, Hietzing <913>",4
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 14.Bezirk, Penzing <914>",9
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",3
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 16.Bezirk, Ottakring <916>",11
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 17.Bezirk, Hernals <917>",4
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 18.Bezirk, Währing <918>",2
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 19.Bezirk, Döbling <919>",5
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 20.Bezirk, Brigittenau <920>",-
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 21.Bezirk, Floridsdorf <921>",-
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 22.Bezirk, Donaustadt <922>",3
15 bis 19 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 23.Bezirk, Liesing <923>",2
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 1.Bezirk, Innere Stadt <901>",3
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 2.Bezirk, Leopoldstadt <902>",132
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 3.Bezirk, Landstraße <903>",42
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 4.Bezirk, Wieden <904>",7
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 5.Bezirk, Margareten <905>",10
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 6.Bezirk, Mariahilf <906>",9
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 7.Bezirk, Neubau <907>",6
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 8.Bezirk, Josefstadt <908>",11
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 9.Bezirk, Alsergrund <909>",15
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 10.Bezirk, Favoriten <910>",39
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 11.Bezirk, Simmering <911>",18
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 12.Bezirk, Meidling <912>",18
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 13.Bezirk, Hietzing <913>",6
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 14.Bezirk, Penzing <914>",15
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",16
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 16.Bezirk, Ottakring <916>",16
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 17.Bezirk, Hernals <917>",4
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 18.Bezirk, Währing <918>",12
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 19.Bezirk, Döbling <919>",19
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 20.Bezirk, Brigittenau <920>",58
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 21.Bezirk, Floridsdorf <921>",42
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 22.Bezirk, Donaustadt <922>",82
15 bis 19 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 23.Bezirk, Liesing <923>",4
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 1.Bezirk, Innere Stadt <901>",5
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 2.Bezirk, Leopoldstadt <902>",35
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 3.Bezirk, Landstraße <903>",109
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 4.Bezirk, Wieden <904>",4
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 5.Bezirk, Margareten <905>",22
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 6.Bezirk, Mariahilf <906>",8
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 7.Bezirk, Neubau <907>",5
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 8.Bezirk, Josefstadt <908>",4
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 9.Bezirk, Alsergrund <909>",6
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 10.Bezirk, Favoriten <910>",93
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 11.Bezirk, Simmering <911>",45
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 12.Bezirk, Meidling <912>",14
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 13.Bezirk, Hietzing <913>",9
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 14.Bezirk, Penzing <914>",16
15 bis 19 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",19
