STATcube

"Wanderungen innerhalb Österreichs ab 2002 (Q)"
"Alter in Einzeljahren nach Jahr und Politischer Bezirk / Wiener Gemeindebezirk - Zielort nach Politischer Bezirk / Wiener Gemeindebezirk - Herkunftsort"
"Zählt: Wanderungen innerhalb Österreichs"

Filter:
"Standardfakt";"Wanderungen innerhalb Österreichs"

"Werte";"Alter in Einzeljahren";"Jahr";"Politischer Bezirk / Wiener Gemeindebezirk - Zielort";"Politischer Bezirk / Wiener Gemeindebezirk - Herkunftsort";"Anzahl";"Anmerkungen";
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 5.Bezirk, Margareten <905>";"Kitzbühel <704>";-;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 5.Bezirk, Margareten <905>";"Wien 5.Bezirk, Margareten <905>";5;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 5.Bezirk, Margareten <905>";"Wien 16.Bezirk, Ottakring <916>";3;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 5.Bezirk, Margareten <905>";"Wien 19.Bezirk, Döbling <919>";-;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 16.Bezirk, Ottakring <916>";"Eisenstadt Umgebung <103>";-;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 16.Bezirk, Ottakring <916>";"Gmünd <309>";-;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 16.Bezirk, Ottakring <916>";"Salzburg Umgebung <503>";-;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 16.Bezirk, Ottakring <916>";"Kitzbühel <704>";-;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 16.Bezirk, Ottakring <916>";"Wien 5.Bezirk, Margareten <905>";2;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 16.Bezirk, Ottakring <916>";"Wien 16.Bezirk, Ottakring <916>";27;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 16.Bezirk, Ottakring <916>";"Wien 19.Bezirk, Döbling <919>";-;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 19.Bezirk, Döbling <919>";"Eisenstadt Umgebung <103>";-;
"Wanderungen innerhalb Österreichs";"13 Jahre";"2025";"Wien 19.Bezirk, Döbling <919>";"Gmünd <309>";-;
